iter	Passed	Remaining
0	56	56059
1	57	28489
2	58	19323
3	60	14975
4	62	12401
5	64	10726
6	66	9463
7	68	8481
8	70	7721
9	71	7085
10	72	6538
11	73	6073
12	75	5697
13	77	5453
14	78	5161
15	79	4899
16	80	4672
17	82	4474
18	83	4329
19	84	4161
20	86	4027
21	87	3895
22	88	3770
23	90	3661
24	91	3572
25	92	3480
26	93	3386
27	95	3298
28	96	3216
29	97	3154
30	99	3099
31	100	3037
32	101	2981
33	102	2923
34	104	2872
35	105	2833
36	107	2785
37	108	2740
38	109	2699
39	110	2661
40	112	2628
41	113	2596
42	114	2559
43	116	2524
44	117	2488
45	118	2459
46	120	2444
47	121	2417
48	123	2389
49	124	2361
50	125	2336
51	126	2313
52	128	2293
53	129	2269
54	130	2246
55	131	2224
56	133	2205
57	134	2191
58	136	2173
59	137	2154
60	138	2134
61	139	2116
62	142	2112
63	143	2096
64	144	2079
65	145	2062
66	146	2046
67	148	2034
68	150	2028
69	151	2012
70	152	1998
71	154	1987
72	155	1975
73	157	1970
74	158	1958
75	160	1946
76	161	1935
77	162	1923
78	164	1915
79	165	1907
80	167	1894
81	168	1882
82	168	1864
83	169	1852
84	171	1844
85	172	1838
86	174	1827
87	175	1816
88	176	1806
89	177	1797
90	179	1789
91	180	1782
92	181	1772
93	182	1763
94	184	1754
95	185	1746
96	187	1743
97	189	1739
98	190	1731
99	191	1723
100	192	1714
101	194	1708
102	195	1703
103	196	1694
104	197	1686
105	199	1678
106	200	1670
107	201	1664
108	203	1659
109	204	1652
110	205	1644
111	206	1637
112	207	1630
113	209	1626
114	210	1622
115	212	1615
116	212	1606
117	214	1600
118	215	1593
119	216	1589
120	218	1586
121	219	1578
122	220	1571
123	221	1565
124	222	1559
125	223	1553
126	225	1547
127	226	1543
128	227	1537
129	228	1531
130	230	1525
131	231	1520
132	232	1518
133	234	1512
134	235	1507
135	236	1501
136	237	1495
137	238	1491
138	239	1486
139	241	1484
140	242	1479
141	243	1472
142	244	1466
143	246	1462
144	247	1459
145	248	1455
146	250	1451
147	251	1446
148	252	1441
149	253	1436
150	254	1432
151	256	1430
152	257	1425
153	258	1421
154	259	1416
155	261	1413
156	262	1411
157	264	1406
158	265	1402
159	266	1398
160	267	1391
161	268	1387
162	269	1383
163	270	1380
164	272	1377
165	273	1373
166	274	1370
167	276	1367
168	277	1363
169	278	1361
170	280	1357
171	281	1353
172	282	1349
173	283	1345
174	285	1344
175	286	1342
176	287	1338
177	289	1335
178	290	1331
179	291	1328
180	293	1327
181	294	1325
182	295	1321
183	297	1317
184	298	1314
185	299	1312
186	302	1313
187	303	1310
188	304	1307
189	306	1305
190	308	1305
191	309	1303
